Fisher,Variance_F,SE_F,ID_R,Year,country,design,terrortype,outcome
-0.060072,0.001307,0.036152,10001,2004,United States,Longitudinal,Islamist,Outgroup Hostility
-0.030009,0.001307,0.036152,10001,2004,United States,Longitudinal,Islamist,Outgroup Hostility
-0.070115,0.001307,0.036152,10001,2004,United States,Longitudinal,Islamist,Outgroup Hostility
0.100335,0.000493,0.022204,10002,2017,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
0.161387,0.00241,0.049092,10003,2017,United States,Correlation,No Ideology,Conservatism
0.080171,0.00241,0.049092,10003,2017,United States,Correlation,No Ideology,Conservatism
0.223656,0.002451,0.049508,10003,2017,United States,Correlation,No Ideology,Conservatism
0.01,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Conservatism
0.030009,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Conservatism
-0.050042,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Conservatism
0.120581,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Conservatism
0.01,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Conservatism
-0.030009,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Rally Effects
0.15114,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Rally Effects
0.050042,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Rally Effects
0.13074,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Rally Effects
0.020003,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Rally Effects
0.050042,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Outgroup Hostility
-0.171667,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Outgroup Hostility
-0.040021,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Outgroup Hostility
0.070115,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Outgroup Hostility
0.030009,0.003401,0.058318,10004,2012,United States,Correlation,Islamist,Outgroup Hostility
0.233916,0.016393,0.128035,10005,2004,United States,(Quasi)Experiment,Islamist,Outgroup Hostility
0.072366,0.017544,0.132454,10005,2004,United States,(Quasi)Experiment,Islamist,Outgroup Hostility
0.195675,0.016949,0.130188,10005,2004,United States,(Quasi)Experiment,Islamist,Outgroup Hostility
-0.140881,0.016949,0.130188,10005,2004,United States,(Quasi)Experiment,Islamist,Outgroup Hostility
0.210587,0.013889,0.117852,10005,2004,United States,(Quasi)Experiment,Islamist,Outgroup Hostility
0.194489,0.014925,0.122168,10005,2004,United States,(Quasi)Experiment,Islamist,Outgroup Hostility
0.459897,0.000898,0.029967,10006,1989,Israel,Correlation,Islamist,Conservatism
0.120581,0.000898,0.029967,10006,1989,Israel,Correlation,Islamist,Conservatism
0.029308,0.000873,0.029547,10007,2016,Other: Western,Correlation,Islamist,Rally Effects
-0.0108,0.000769,0.027731,10007,2016,Other: Western,Correlation,Extreme Right,Rally Effects
0.024305,0.000629,0.02508,10007,2016,Other: Western,Correlation,Islamist,Rally Effects
-0.067402,0.004049,0.063632,10007,2016,Other: Western,Correlation,Islamist,Rally Effects
0.198665,0.010753,0.103697,10008,2013,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
-0.041877,0.010753,0.103697,10008,2013,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
0.246018,0.010753,0.103697,10008,2013,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
0.045164,0.010753,0.103697,10008,2013,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
0.192337,0.010417,0.102064,10008,2013,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
0.140926,0.010417,0.102064,10008,2013,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
-0.080171,0.010417,0.102064,10008,2013,Other: Western,(Quasi)Experiment,No Ideology,Rally Effects
0.040021,0.010417,0.102064,10008,2013,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
0.030009,0.010417,0.102064,10008,2013,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
-0.020003,0.010417,0.102064,10008,2013,Other: Western,(Quasi)Experiment,No Ideology,Rally Effects
0.058911,0.000564,0.023749,10009,2019,,Correlation,No Ideology,Rally Effects
-0.000393,0.001076,0.032802,10009,2019,,Correlation,No Ideology,Rally Effects
0.232082,0.000842,0.029017,10009,2019,,Correlation,No Ideology,Rally Effects
0.255775,0.00155,0.03937,10009,2019,,Longitudinal,No Ideology,Rally Effects
0.055119,0.003077,0.055471,10010,2019,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
0.062044,0.003155,0.056169,10010,2019,Other: Western,(Quasi)Experiment,Islamist,Conservatism
0.047859,0.003145,0.05608,10010,2019,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
0.073442,0.003226,0.056798,10010,2019,Other: Western,(Quasi)Experiment,Islamist,Conservatism
0.024583,0.003096,0.055642,10010,2019,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
0.028805,0.003215,0.056701,10010,2019,Other: Western,(Quasi)Experiment,Islamist,Conservatism
0.062674,0.003215,0.056701,10010,2019,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
0.045021,0.003106,0.055731,10010,2019,Other: Western,(Quasi)Experiment,Islamist,Conservatism
-0.054147,0.003086,0.055552,10010,2019,Other: Western,(Quasi)Experiment,No Ideology,Conservatism
-0.03714,0.003175,0.056347,10010,2019,Other: Western,(Quasi)Experiment,Islamist,Conservatism
0.049429,0.003165,0.056258,10010,2019,Other: Western,(Quasi)Experiment,No Ideology,Outgroup Hostility
0.084798,0.003077,0.055471,10010,2019,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
0.117383,0.000185,0.013601,10011,2007,Other: Western,Correlation,Islamist,Rally Effects
-0.211656,0.000185,0.013601,10011,2007,Other: Western,Correlation,Islamist,Conservatism
-0.211394,0.000185,0.013601,10011,2007,Other: Western,Correlation,Islamist,Conservatism
0.046086,0.000185,0.013601,10011,2007,Other: Western,Correlation,Islamist,Conservatism
-0.152526,0.001003,0.03167,10011,2007,Other: Western,Correlation,Islamist,Conservatism
-0.237605,0.001003,0.03167,10011,2007,Other: Western,Correlation,Islamist,Conservatism
0.030576,0.001003,0.03167,10011,2007,Other: Western,Correlation,Islamist,Conservatism
0.069942,0.00277,0.052631,10012,2009,United States,(Quasi)Experiment,No Ideology,Conservatism
0.035954,0.00277,0.052631,10012,2009,United States,(Quasi)Experiment,No Ideology,Conservatism
0.023924,0.00277,0.052631,10012,2009,United States,(Quasi)Experiment,No Ideology,Conservatism
0.206444,0.00277,0.052631,10012,2009,United States,(Quasi)Experiment,No Ideology,Conservatism
0.070473,0.00277,0.052631,10012,2009,United States,(Quasi)Experiment,No Ideology,Conservatism
0.076499,0.00277,0.052631,10012,2009,United States,(Quasi)Experiment,No Ideology,Conservatism
0.234189,0.006803,0.08248,10013,2012,United States,Correlation,Islamist,Conservatism
0.181983,0.006803,0.08248,10013,2012,United States,Correlation,Islamist,Conservatism
0.298566,0.006803,0.08248,10013,2012,United States,Correlation,Islamist,Conservatism
0.320545,0.006803,0.08248,10013,2012,United States,Correlation,Islamist,Rally Effects
0.342828,0.006803,0.08248,10013,2012,United States,Correlation,Islamist,Outgroup Hostility
0.376886,0.006803,0.08248,10013,2012,United States,Correlation,Islamist,Conservatism
0.266108,0.006803,0.08248,10013,2012,United States,Correlation,Islamist,Conservatism
0.139558,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.043463,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.097917,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.058771,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.052607,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.146987,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.068714,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.091413,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.11937,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.124541,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.194569,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.236038,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
-0.024842,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
-0.006385,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.075957,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.089009,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.049592,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
