"","ID_R","No.","Author(s)","Year","Title","Journal"
"1",10001,1,"Aber et al.",2004,"Estimating the Effects of September 11th and Other Forms of Violence on the Mental Health and Social Development of New York City's Youth: A Matter of Context","Applied Developmental Science"
"2",10002,2,"Abrams et al.",2017,"Does Terror Defeat Contact? Intergroup Contact and Prejudice Toward Muslims Before and After the London Bombings","Peace and Conflict: Journal of Peace Psychology"
"3",10003,12,"Aizpurua et al.",2017,"15 years later: Post 9-11 support for increased security and criminalizing muslims","Journal of Ethnicity in Criminal Justice"
"4",10004,23,"Anonymous",2012,"Memories of 9-11 and the Long-term Sociopolitical Effects of 9-11 Television Viewing and Conversation","International Communication Association Conference"
"5",10005,26,"Argyrides & Downey",2004,"September 11: Immediate and Long Term effects on Measures of Aggression, Prejudice, and Person Perception","North American Journal of Psychology"
"6",10006,27,"Arian",1989,"A people apart: Coping with national security problems in Israel","Journal of Conflict Resolution"
"7",10007,30,"Arvanitidis, Economou, & Kollias",2016,"Terrorism’s effects on social capital in European countries","Public Choice"
"8",10008,31,"Asbrock & Fritsche",2013,"Authoritarian reactions to terrorist threat: Who is being threatened, the Me or the We?","International Journal of Psychology"
"9",10009,37,"Aytac & Carkogly",2019,"Terror attacks, issue salience, and party competence: Diagnosing shifting vote preferences in a panel study","Party Politics"
"10",10010,40,"Baele et al.",2019,"What Does the ""Terrorist"" Label Really Do? Measuring and Explaining the Effects of the ""Terrorist"" and ""Islamist"" Categories","Studies in Conflict and Terrorism"
"11",10011,46,"Bali",2007,"Terror and elections: Lessons from Spain","Electoral Studies"
"12",10012,47,"Bali",2009,"Tinkering Toward a National Identification System: An Experiment on Policy Attitudes","Policy Studies Journal"
"13",10013,51,"Barnes, Brown & Osterman",2012,"Don’t Tread on Me: Masculine Honor Ideology in the U.S. and Militant Responses to Terrorism","Personality and Social Psychology Bulletin"
"14",10014,53,"Bar-Tal & Labin",2001,"The effect of a major event on stereotyping: terrorist attacks in Israel and Israeli
adolescents' perceptions of Palestinians, Jordanians and Arabs","European Journal of Social Psychology"
"15",10015,63,"Berg",2010,"The fear of terrorist attacks in the Southwestern United States: A cross sectional analysis","Thesis"
"16",10016,70,"Besser & Neria",2006,"PTSD Symptoms, Satisfaction With Life, and Prejudicial Attitudes Toward the Adversary Among Israeli Civilians Exposed to Ongoing Missile Attacks","Journal of Traumatic Stress"
"17",10017,72,"Best, Krueger, & Pearson-Merkowitz",2012,"Al Qaeda Versus Big Brother: Anxiety About Government Monitoring and Support for Domestic Counterterrorism Policies","Political Behavior"
"18",10018,75,"Bilali",2015,"Do terrorist threat alerts increase perception of threat and legitimization of in-group's wars? The moderating role of perceived in-group homogeneity","Journal of Applied Social Psychology"
"19",10019,80,"Blanchar",2016,"Familiarity Bias: Examining a Cognitive-Affective Mechanism Underlying Ideological Support for the Status Quo","Doctoral Thesis"
"20",10020,81,"Blauwkamp, Rowling, & Pettit",2018,"Are Americans really okay with torture? The effects of message framing on public opinion","Media, War and Conflict"
"21",10021,89,"Bonanno & Jost",2006,"Conservative shift among high-exposure survivors of the September 11th terrorist attacks","Basic and Applied Social Psychology"
"22",10022,93,"Boomgaarden & de Vreese",2007,"Dramatic real-world events and public opinion dynamics: Media coverage and its impact on public reactions to an assassination","International Journal of Public Opinion Research"
"23",10023,102,"Boydstun, Feezel, & Glazier",2018,"In the wake of a terrorist attack, do Americans’ attitudes toward Muslims decline?","Research and Politics"
"24",10024,111,"Breugelmans et al.",2009,"Stability of Majority Attitudes toward Multiculturalism in the Netherlands between 1999 and 2007","Applied Psychology: An International Review"
"25",10025,113,"Brinson & Stohl",2012,"Media Framing of Terrorism: Implications for Public Opinion, Civil Liberties, and Counterterrorism Policies.","Journal of International & Intercultural Communication"
"26",10026,122,"Bruneau, Kteily, & Falk",2018,"Interventions Highlighting Hypocrisy Reduce Collective Blame of Muslims for Individual Acts of Violence and Assuage Anti-Muslim Hostility","Personality and Social Psychology Bulletin"
"27",10027,129,"Canetti et al.",2009,"Authoritarianism, perceived threat and exclusionism on the eve of the Disengagement: Evidence from Gaza","International Journal of Intercultural Relations"
"28",10028,130,"Canetti et al.",2009,"A New Stress-Based Model of Political Extremism Personal Exposure to Terrorism, Psychological Distress, and Exclusionist Political Attitudes","Journal of Conflict Resolution"
"29",10029,133,"Canetti et al.",2016,"Threatened or Threatening? How Ideology Shapes Asylum Seekers' Immigration Policy Attitudes in Israel and Australia","Journal of Refugee Studies"
"30",10030,134,"Canetti et al.",2017,"Exposure to Violence, Ethos of Conflict, and Support for Compromise: Surveys in Israel, East Jerusalem, West Bank, and Gaza","Journal of Conflict Resolution"
"31",10031,135,"Canetti et al.",2018,"Psychological Barriers to a Peaceful Resolution: Longitudinal Evidence from the Middle East and Northern Ireland","Studies in Conflict and Terrorism"
"32",10032,136,"Canetti et al.",2018,"Collective Trauma From the Lab to the Real World: The Effects of the Holocaust on Contemporary Israeli Political Cognitions","Political Psychology"
"33",10033,137,"Canetti et al.",2019,"Individual Exposure to Terror and Political Attitudes: A Physiologically-Based Model of Militancy","Terrorism & Political Violence"
"34",10034,138,"Canetti, Ariely, & Halperin",2008,"Life, pocketbook, or culture - The role of perceived security threats in promoting exclusionist political attitudes toward minorities in Israel","Political Research Quarterly"
"35",10035,139,"Carnagey & Anderson",2007,"Changes in attitudes towards war and violence after September 11, 2001","Aggressive Behavior"
"36",10036,140,"Carriere, Hendricks, & Moghaddam",2019,"Sophisticated but Scared: The Effects of Political Sophistication, Right-Wing Authoritarianism, and Threat on Civil Liberty Restrictions","Analyses of Social Issues and Public Policy"
"37",10037,141,"Castanho Silva",2018,"The (Non)Impact of the 2015 Paris Terrorist Attacks on Political Attitudes","Personality and Social Psychology Bulletin"
"38",10038,143,"Celebi, et al.",2014,"Out-group trust and conflict understandings: The perspective of Turks and Kurds in Turkey","International Journal of Intercultural Relations"
"39",10039,148,"Cheung-Blunden",2020,"Situational insecurity versus entrenched ideologies as the source of right-wing voters’ anti-migrant sentiment on both sides of the Atlantic","Journal of Applied Social Psychology"
"40",10040,149,"Cheung-Blunden & Blunden",2008,"Paving the road to war with group membership, appraisal antecedents, and anger","Aggressive Behavior"
"41",10041,152,"Choma et al.",2015,"Effects of viewing 9/11 footage on distress and Islamophobia: a temporally expanded approach","Journal of Applied Social Psychology"
"42",10042,153,"Choma et al.",2018,"Prejudice in the wake of terrorism: The role of temporal distance, ideology, and intergroup emotions","Personality and Individual Differences"
"43",10043,166,"Cohrs et al.",2005,"Personal Values and Attitudes Toward War","Peace & Conflict"
"44",10044,167,"Cohrs et al.",2005,"Effects of Right-Wing Authoritarianism and Threat from Terrorism on Restriction of Civil Liberties","Analyses of Social Issues and Public Policy"
"45",10045,169,"Cohu, Maisonneuve, & Testé",2016,"The “Charlie-Hebdo” Effect: Repercussions of the January 2015 Terrorist Attacks in France on Prejudice toward Immigrants and North-Africans, Social Dominance Orientation, and Attachment to the Principle of Laïcité","International Review of Social Psychology"
"46",10046,172,"Conejero & Etxebarria",2007,"The impact of the Madrid bombing on personal emotions, emotional atmosphere and emotional climate","Journal of Social Issues"
"47",10047,176,"Conrad et al.",2018,"Threat Perception and American Support for Torture","Political Behavior"
"48",10048,178,"Coryn, Beale, & Myers",2004,"Response to September 11: Anxiety, patriotism, and prejudice in the aftermath of terror","Current Research in Social Psychology"
"49",10049,186,"Crownson",2009,"Predicting perceptions of symbolic and realistic threat from terrorists: The role of right-wing authoritarianism and social dominance orientation.","Individual Differences Research"
"50",10050,188,"Crowson, DeBacker, & Thoma",2005,"Does authoritarianism predict post-9/11 attitudes?","Personality and Individual Differences"
"51",10051,192,"Da Costa Silva et al.",2019,"Terrorist threat, dehumanization, and right-wing authoritarianism as predictors of discrimination","Scandinavian Journal of Psychology"
"52",10052,198,"Das et al.",2009,"How terrorism news reports increase prejudice against outgroups: A terror management account","Journal of Experimental Social Psychology"
"53",10053,200,"Davies, Steele, & Markus",2008,"A nation challenged: The impact of foreign threat on America's tolerance for diversity","Journal of Personality and Social Psychology"
"54",10054,201,"Davis",2007,"Negative liberty: Public opinion and the terrorist attacks on America","Book"
"55",10055,205,"Dawson",2011,"War, Gender, and the Polarization Process: Gender as an Intervening Variable in Attitude Formation toward Outgroups","Thesis (master)"
"56",10056,207,"De Coninck et al.",2008,"The relationship between media use and public opinion on immigrants and refugees: A Belgian perspective","Communications"
"57",10057,220,"Dinensen & Jaeger",2013,"The effect of terror on institutional trust: New evidence from the 3/11 Madrid terrorist attack.","Political Psychology"
"58",10058,228,"Doosje et al.",2009,"Terrorist Threat and Perceived Islamic Support for Terrorist Attacks as Predictors of Personal and Institutional Out-Group Discrimination and Support for Anti-Immigration Policies - Evidence from 9 European Countries","Revue Internationale de Psychology Sociale"
"59",10059,229,"Doosje, van der Veen, & Klaver",2018,"Can Societies Experience Post-Traumatic Growth after a Terror Attack? The Influence of Terror Attacks on Political, Institutional, and Social Trust in European Countries","Journal of Conflict and Violence"
"60",10060,236,"Dvir-Gvirsman et al.",2016,"The Longitudinal Effects of Chronic Mediated Exposure to Political Violence on Ideological Beliefs About Political Conflicts Among Youths","Political Communication"
"61",10061,237,"Eadeh et al.",2020,"Terrorist Threat, Affect, and Ideological “Shifts to the Right”: An Anger-Affordance Model","Journal of Experimental Social Psychology"
